"cnum"	"word"	"fnum"
"1"	"一品"	"423"
"2"	"七年"	"563"
"3"	"三文"	"50"
"4"	"三文"	"50"
"5"	"三文鱼"	"50"
"6"	"三文鱼"	"50"
"7"	"上"	"453"
"8"	"上校"	"82"
"9"	"上校"	"82"
"10"	"上海"	"224"
"11"	"上海"	"580"
"12"	"上海"	"580"
"13"	"不"	"141"
"14"	"丘"	"430"
"15"	"丘"	"451"
"16"	"丘"	"466"
"17"	"丘"	"471"
"18"	"丘"	"473"
"19"	"丝"	"284"
"20"	"丝"	"497"
"21"	"丝"	"511"
"22"	"丝"	"516"
"23"	"中"	"156"
"24"	"中"	"571"
"25"	"中华"	"514"
"26"	"串"	"122"
"27"	"串"	"130"
"28"	"串"	"330"
"29"	"丹"	"280"
"30"	"丽"	"356"
"31"	"丽"	"375"
"32"	"之"	"20"
"33"	"之"	"370"
"34"	"乌江"	"476"
"35"	"乌鳢"	"117"
"36"	"乌鳢"	"117"
"37"	"乐"	"71"
"38"	"乐"	"71"
"39"	"乐"	"402"
"40"	"乐"	"412"
"41"	"乐"	"413"
"42"	"乐"	"551"
"43"	"九孔"	"87"
"44"	"九龙"	"646"
"45"	"乳"	"143"
"46"	"乳"	"155"
"47"	"乳"	"155"
"48"	"乳"	"174"
"49"	"乳"	"184"
"50"	"乳"	"200"
"51"	"乳"	"200"
"52"	"乳"	"393"
"53"	"乳"	"410"
"54"	"乳"	"570"
"55"	"乳"	"570"
"56"	"乳粉"	"160"
"57"	"乳糖"	"170"
"58"	"乳酪"	"140"
"59"	"五"	"483"
"60"	"五季"	"563"
"61"	"亚"	"136"
"62"	"亚"	"136"
"63"	"亚"	"136"
"64"	"亚"	"169"
"65"	"亚"	"173"
"66"	"亚"	"315"
"67"	"亚"	"448"
"68"	"亚麻"	"363"
"69"	"亚麻"	"363"
"70"	"亚麻子"	"363"
"71"	"亚麻油"	"363"
"72"	"亨"	"433"
"73"	"亨"	"436"
"74"	"亨"	"554"
"75"	"人"	"294"
"76"	"什锦"	"232"
"77"	"什锦"	"505"
"78"	"仁"	"234"
"79"	"仁"	"290"
"80"	"仁"	"308"
"81"	"仁"	"334"
"82"	"仁"	"483"
"83"	"介"	"248"
"84"	"仑"	"147"
"85"	"仑"	"177"
"86"	"仑"	"191"
"87"	"仕"	"198"
"88"	"他"	"501"
"89"	"仲夏"	"91"
"90"	"仲夏"	"562"
"91"	"仲夏夜"	"91"
"92"	"仲夏夜"	"562"
"93"	"伊利"	"138"
"94"	"伊利"	"138"
"95"	"伊利"	"150"
"96"	"伊利"	"150"
"97"	"伊利"	"152"
