"fnum"	"type"	"typelink"	"typeimg"	"fname"	"flink"	"fimg"	"energy"
"1"	"谷薯芋、杂豆、主食"	"https://www.boohee.com/food/group/1"	"http://s.boohee.cn/images/food/category/1.png"	"米饭，又叫大米饭，饭，蒸米、锅巴饭、煮米饭..."	"https://www.boohee.com/shiwu/mifan_zheng"	"http://s.boohee.cn/house/upload_food/2020/5/27/small_photo_url_big_photo_url_f81e8de29f76e6d0c39d4142fe45764f.jpg"	"热量：116 大卡(每100克)"
"2"	"谷薯芋、杂豆、主食"	"https://www.boohee.com/food/group/1"	"http://s.boohee.cn/images/food/category/1.png"	"鲜玉米，又叫玉米（鲜）、苞谷、珍珠米、棒子..."	"https://www.boohee.com/shiwu/yumi_xian"	"http://s.boohee.cn/house/upload_food/2021/8/18/small_photo_url_b5f53dc1e9ce677c4d1499b163e07cb0.jpg"	"热量：112 大卡(每100克)"
"3"	"谷薯芋、杂豆、主食"	"https://www.boohee.com/food/group/1"	"http://s.boohee.cn/images/food/category/1.png"	"全麦面包，又叫全麦面包、全麦吐司、全麦面包..."	"https://www.boohee.com/shiwu/maipeimianbao"	"http://s.boohee.cn/house/upload_food/2020/7/7/s_big_photo_url_734d51cb0453db04bb275a477a1e5be4.jpg"	"热量：254 大卡(每100克)"
"4"	"谷薯芋、杂豆、主食"	"https://www.boohee.com/food/group/1"	"http://s.boohee.cn/images/food/category/1.png"	"馒头，又叫手工馒头、大馒头、白面馒头"	"https://www.boohee.com/shiwu/mantou_junzhi"	"http://s.boohee.cn/house/upload_food/2021/8/18/small_photo_url_a84b162ef235725e2b96b4ea01db385c.jpg"	"热量：223 大卡(每100克)"
"5"	"谷薯芋、杂豆、主食"	"https://www.boohee.com/food/group/1"	"http://s.boohee.cn/images/food/category/1.png"	"红薯，又叫地瓜、番薯、甘薯、山芋、红薯、桥头地瓜"	"https://www.boohee.com/shiwu/ganshu_hongxin"	"http://s.boohee.cn/house/new_food/small/bc7c36b31c994c9dae4b730003d82661.jpg"	"热量：86 大卡(每100克)"
"6"	"谷薯芋、杂豆、主食"	"https://www.boohee.com/food/group/1"	"http://s.boohee.cn/images/food/category/1.png"	"燕麦片，又叫燕麦"	"https://www.boohee.com/shiwu/yanmaipian"	"http://s.boohee.cn/house/upload_food/2021/8/18/small_photo_url_b7579d0f5a211460e8d356a846033f77.jpg"	"热量：338 大卡(每100克)"
"7"	"谷薯芋、杂豆、主食"	"https://www.boohee.com/food/group/1"	"http://s.boohee.cn/images/food/category/1.png"	"煮面条，又叫面、水煮面、面条（煮）"	"https://www.boohee.com/shiwu/miantiao_fuqiangfen_zhu"	"http://s.boohee.cn/house/upload_food/2020/5/21/small_photo_url_624e8d5b539ac82468c833efb110e3ee.jpg"	"热量：107 大卡(每100克)"
"8"	"谷薯芋、杂豆、主食"	"https://www.boohee.com/food/group/1"	"http://s.boohee.cn/images/food/category/1.png"	"紫薯，又叫甘薯（紫色）"	"https://www.boohee.com/shiwu/zishu"	"http://s.boohee.cn/house/upload_food/2020/6/20/small_photo_url_big_photo_url_b48f483c506a51c70b22fd54f18dc2ef.jpg"	"热量：123 大卡(每100克)"
"9"	"谷薯芋、杂豆、主食"	"https://www.boohee.com/food/group/1"	"http://s.boohee.cn/images/food/category/1.png"	"马铃薯，又叫土豆、洋芋、地蛋、山药蛋、洋番..."	"https://www.boohee.com/shiwu/malingshu"	"http://s.boohee.cn/house/upload_food/2021/8/20/small_photo_url_5d5ffa67ece6b083d371f0ba986362ed.jpg"	"热量：81 大卡(每100克)"
"10"	"谷薯芋、杂豆、主食"	"https://www.boohee.com/food/group/1"	"http://s.boohee.cn/images/food/category/1.png"	"小米粥"	"https://www.boohee.com/shiwu/xiaomizhou"	"http://s.boohee.cn/house/upload_food/2020/6/20/small_photo_url_big_photo_url_ef353b12d4e89108a469f0a38dff4404.jpg"	"热量：46 大卡(每100克)"
"11"	"谷薯芋、杂豆、主食"	"https://www.boohee.com/food/group/1"	"http://s.boohee.cn/images/food/category/1.png"	"白粥，又叫白粥（粳米），稀饭，大米粥，白米..."	"https://www.boohee.com/shiwu/jingmizhou"	"http://s.boohee.cn/house/upload_food/2020/6/4/small_photo_url_big_photo_url_5496722b20671a0388e5834b068e2ca2.jpg"	"热量：46 大卡(每100克)"
"12"	"谷薯芋、杂豆、主食"	"https://www.boohee.com/food/group/1"	"http://s.boohee.cn/images/food/category/1.png"	"烤红薯，又叫烤地瓜、烤山芋"	"https://www.boohee.com/shiwu/kaohongshu2"	"http://s.boohee.cn/house/upload_food/2020/5/14/small_photo_url_2db795fdd746779807e6a40c2d936ac6.jpg"	"热量：90 大卡(每100克)"
"13"	"谷薯芋、杂豆、主食"	"https://www.boohee.com/food/group/1"	"http://s.boohee.cn/images/food/category/1.png"	"油条，又叫小油条"	"https://www.boohee.com/shiwu/youtiao"	"http://s.boohee.cn/house/upload_food/2020/6/18/small_photo_url_big_photo_url_552a534384ecbc8888f957067c13942f.jpg"	"热量：388 大卡(每100克)"
"14"	"谷薯芋、杂豆、主食"	"https://www.boohee.com/food/group/1"	"http://s.boohee.cn/images/food/category/1.png"	"包子(猪肉馅)"	"https://www.boohee.com/shiwu/baozi_zhurouxian"	"http://s.boohee.cn/house/upload_food/2020/5/19/small_photo_url_f0903e7f6a223a49e7b6d808c63de58d.jpg"	"热量：227 大卡(每100克)"
"15"	"谷薯芋、杂豆、主食"	"https://www.boohee.com/food/group/1"	"http://s.boohee.cn/images/food/category/1.png"	"面包"	"https://www.boohee.com/shiwu/mianbao_junzhi"	"http://s.boohee.cn/house/upload_food/2020/6/5/small_photo_url_881c51c3c3434564d4afcd13b4158207.jpg"	"热量：313 大卡(每100克)"
"16"	"谷薯芋、杂豆、主食"	"https://www.boohee.com/food/group/1"	"http://s.boohee.cn/images/food/category/1.png"	"糯玉米，又叫玉米"	"https://www.boohee.com/shiwu/fd111062"	"http://s.boohee.cn/house/upload_food/2020/5/23/small_photo_url_41db64c75060f1ceab5cf258b7144a79.jpg"	"热量：172 大卡(每100克)"
"17"	"谷薯芋、杂豆、主食"	"https://www.boohee.com/food/group/1"	"http://s.boohee.cn/images/food/category/1.png"	"稀饭，又叫白粥（籼米），大米粥，白米粥"	"https://www.boohee.com/shiwu/xianmizhou"	"http://s.boohee.cn/house/upload_food/2020/6/4/small_photo_url_big_photo_url_5496722b20671a0388e5834b068e2ca2.jpg"	"热量：59 大卡(每100克)"
"18"	"谷薯芋、杂豆、主食"	"https://www.boohee.com/food/group/1"	"http://s.boohee.cn/images/food/category/1.png"	"麦片"	"https://www.boohee.com/shiwu/maipian"	"http://s.boohee.cn/house/upload_food/2018/3/12/small_photo_url_401208dfc3204a2c93059e29aaf4976c.jpg"	"热量：368 大卡(每100克)"
"19"	"谷薯芋、杂豆、主食"	"https://www.boohee.com/food/group/1"	"http://s.boohee.cn/images/food/category/1.png"	"芋头，又叫芋艿、毛芋、芋艿、毛芋头、香芋"	"https://www.boohee.com/shiwu/yutou"	"http://s.boohee.cn/house/upload_food/2020/5/21/small_photo_url_06c2cf309ec89aa842353316bec13f8b.jpg"	"热量：56 大卡(每100克)"
"20"	"谷薯芋、杂豆、主食"	"https://www.boohee.com/food/group/1"	"http://s.boohee.cn/images/food/category/1.png"	"花卷，又叫花之卷、大花卷、小花卷"	"https://www.boohee.com/shiwu/huajuan"	"http://s.boohee.cn/house/new_food/small/32fbb0ed557b4d388872c26bf93414d9.jpg"	"热量：214 大卡(每100克)"
"21"	"谷薯芋、杂豆、主食"	"https://www.boohee.com/food/group/1"	"http://s.boohee.cn/images/food/category/1.png"	"烙饼"	"https://www.boohee.com/shiwu/laobing_biaozhunfen"	"http://s.boohee.cn/house/upload_food/2020/5/27/small_photo_url_15db029d1170ad343371a64a4839e2dd.jpg"	"热量：258 大卡(每100克)"
"22"	"谷薯芋、杂豆、主食"	"https://www.boohee.com/food/group/1"	"http://s.boohee.cn/images/food/category/1.png"	"挂面"	"https://www.boohee.com/shiwu/guamian_junzhi"	"http://s.boohee.cn/house/upload_food/2019/1/9/small_photo_url_62f0b71f9666a7085edbc7d3f451f72c.jpg"	"热量：353 大卡(每100克)"
"23"	"谷薯芋、杂豆、主食"	"https://www.boohee.com/food/group/1"	"http://s.boohee.cn/images/food/category/1.png"	"曼可顿 全麦高纤维面包"	"https://www.boohee.com/shiwu/mankedunquanmaigaoxianweimianbao2"	"http://s.boohee.cn/house/upload_food/2021/8/2/s_e754911f397f24f906a944e7f96c8357.jpg"	"热量：243 大卡(每100克)"
"24"	"谷薯芋、杂豆、主食"	"https://www.boohee.com/food/group/1"	"http://s.boohee.cn/images/food/category/1.png"	"藜麦"	"https://www.boohee.com/shiwu/limai"	"http://s.boohee.cn/house/upload_food/2020/5/14/small_photo_url_58f0f9dbdd52db718832c49c9d119e94.jpg"	"热量：357 大卡(每100克)"
"25"	"谷薯芋、杂豆、主食"	"https://www.boohee.com/food/group/1"	"http://s.boohee.cn/images/food/category/1.png"	"麦田村 牌 荞麦面"	"https://www.boohee.com/shiwu/maitiancunpaiqiaomaimian"	"http://s.boohee.cn/house/upload_food/2008/12/7/134818_1228630521small.jpg"	"热量：342 大卡(每100克)"
"26"	"谷薯芋、杂豆、主食"	"https://www.boohee.com/food/group/1"	"http://s.boohee.cn/images/food/category/1.png"	"玉米粒(黄、干)"	"https://www.boohee.com/shiwu/yumili_huang_gan"	"http://s.boohee.cn/house/upload_food/2020/9/11/s_big_photo_url_f4175f9dd952bdbb4d1e9a349d82ea9f.jpg"	"热量：327 大卡(每100克)"
"27"	"谷薯芋、杂豆、主食"	"https://www.boohee.com/food/group/1"	"http://s.boohee.cn/images/food/category/1.png"	"薏米，又叫薏苡、薏苡仁、六谷米、苡米、薏仁..."	"https://www.boohee.com/shiwu/yimi"	"http://s.boohee.cn/house/upload_food/2020/5/14/small_photo_url_95fd318fe9b3f6d71b7040cb22849be5.jpg"	"热量：361 大卡(每100克)"
"28"	"谷薯芋、杂豆、主食"	"https://www.boohee.com/food/group/1"	"http://s.boohee.cn/images/food/category/1.png"	"水面筋(泡发后)，又叫生麸、子面筋"	"https://www.boohee.com/shiwu/shuimianjin"	"http://s.boohee.cn/house/upload_food/2020/6/12/small_photo_url_915718eebde584f2bf04fb8a5d1e5920.jpg"	"热量：142 大卡(每100克)"
"29"	"谷薯芋、杂豆、主食"	"https://www.boohee.com/food/group/1"	"http://s.boohee.cn/images/food/category/1.png"	"小麦面粉(特制)"	"https://www.boohee.com/shiwu/xiaomaimianfen_tezhi"	"http://s.boohee.cn/house/new_food/small/dd5f2ac87fd8497f885eea644c360c21.jpg"	"热量：366 大卡(每100克)"
