"wnum"	"word"	"fnum"
"1"	"七"	"1016"
"2"	"三季"	"1028"
"3"	"三季"	"1029"
"4"	"三鲜"	"31"
"5"	"三鲜"	"34"
"6"	"上校"	"319"
"7"	"不怕"	"930"
"8"	"不换"	"781"
"9"	"不知"	"829"
"10"	"丝"	"68"
"11"	"丝"	"261"
"12"	"丝"	"769"
"13"	"丝瓜"	"644"
"14"	"个"	"593"
"15"	"串"	"318"
"16"	"丸子"	"359"
"17"	"丸子"	"418"
"18"	"丹荔"	"529"
"19"	"丽"	"989"
"20"	"之"	"102"
"21"	"乌"	"554"
"22"	"乌"	"1063"
"23"	"乌塌菜"	"646"
"24"	"乌鳢"	"169"
"25"	"乌龙"	"841"
"26"	"乌龙"	"1061"
"27"	"乌龙"	"1062"
"28"	"乌龙茶"	"841"
"29"	"乌龙茶"	"1061"
"30"	"乐吧"	"939"
"31"	"九九"	"167"
"32"	"乳"	"602"
"33"	"乳"	"808"
"34"	"乳"	"1034"
"35"	"二叶"	"463"
"36"	"五指"	"545"
"37"	"亚"	"898"
"38"	"亚军"	"1039"
"39"	"亚麻"	"766"
"40"	"亚麻油"	"766"
"41"	"交"	"138"
"42"	"人参"	"106"
"43"	"什锦"	"736"
"44"	"仁"	"857"
"45"	"仔鱼"	"200"
"46"	"付"	"861"
"47"	"仙"	"521"
"48"	"伞"	"606"
"49"	"低"	"700"
"50"	"余"	"564"
"51"	"侧耳"	"634"
"52"	"侧耳"	"661"
"53"	"假"	"668"
"54"	"元"	"16"
"55"	"光"	"650"
"56"	"兜"	"514"
"57"	"全麦"	"129"
"58"	"八"	"244"
"59"	"八宝"	"65"
"60"	"八宝粥"	"65"
"61"	"六"	"65"
"62"	"兰"	"293"
"63"	"兰州"	"66"
"64"	"兰州"	"91"
"65"	"兰州"	"93"
"66"	"冀"	"170"
"67"	"冬"	"590"
"68"	"冬"	"829"
"69"	"冰"	"574"
"70"	"冰"	"977"
"71"	"冷"	"1084"
"72"	"冻"	"417"
"73"	"冻"	"1089"
"74"	"凉皮"	"102"
"75"	"凉薯"	"3"
"76"	"凤"	"948"
"77"	"刀鱼"	"155"
"78"	"初露"	"948"
"79"	"利"	"219"
"80"	"刺"	"152"
"81"	"刺"	"520"
"82"	"刺"	"523"
"83"	"刺"	"582"
"84"	"刺"	"661"
"85"	"刺"	"667"
"86"	"前"	"757"
"87"	"剑"	"143"
"88"	"剥"	"695"
"89"	"力"	"191"
"90"	"加"	"157"
"91"	"加热"	"279"
"92"	"勾"	"168"
"93"	"包"	"35"
"94"	"包"	"419"
"95"	"包饭"	"59"
"96"	"千层"	"989"
"97"	"半日"	"873"
"98"	"南"	"554"
"99"	"南美"	"186"
"100"	"卡姆"	"524"
"101"	"卡姆"	"524"
"102"	"卵"	"231"
"103"	"厘"	"563"
"104"	"原味"	"320"
"105"	"原味"	"1067"
"106"	"去皮"	"183"
"107"	"参"	"2"
"108"	"参"	"441"
"109"	"双"	"569"
"110"	"双色"	"130"
"111"	"发糕"	"42"
"112"	"发糕"	"109"
"113"	"发糕"	"1131"
"114"	"变绿"	"638"
"115"	"口"	"146"
"116"	"口"	"212"
"117"	"口蘑"	"645"
"118"	"可"	"989"
"119"	"叶"	"656"
"120"	"吉"	"32"
"121"	"吉"	"157"
"122"	"吊"	"316"
"123"	"吮"	"320"
"124"	"吴郭鱼"	"199"
"125"	"味"	"786"
"126"	"味"	"861"
"127"	"味"	"937"
"128"	"味"	"938"
"129"	"味"	"939"
"130"	"咖"	"1089"
"131"	"咖喱"	"710"
"132"	"咖喱"	"937"
"133"	"响"	"261"
"134"	"响"	"748"
"135"	"啤"	"932"
"136"	"喜"	"817"
"137"	"喜"	"858"
"138"	"喜"	"865"
"139"	"喜"	"866"
"140"	"喜"	"927"
"141"	"喜"	"975"
"142"	"喜"	"1023"
"143"	"喜"	"1024"
"144"	"喜"	"1066"
"145"	"喜"	"1066"
"146"	"喜"	"1083"
"147"	"喜"	"1104"
"148"	"嘎"	"137"
"149"	"嘎啦"	"511"
"150"	"嘎巴"	"597"
"151"	"嘛"	"1063"
"152"	"四季"	"592"
"153"	"四季"	"1061"
"154"	"四季"	"1061"
"155"	"四季"	"1061"
"156"	"四季春"	"1061"
"157"	"四季春"	"1061"
"158"	"四季春"	"1061"
"159"	"回回"	"464"
"160"	"回回"	"493"
"161"	"团"	"148"
"162"	"团"	"568"
"163"	"团子"	"568"
"164"	"固体"	"1025"
"165"	"圆"	"1140"
"166"	"圈"	"32"
"167"	"土豆"	"413"
"168"	"土豆"	"731"
"169"	"土豆丝"	"731"
"170"	"地瓜"	"41"
"171"	"地皮"	"588"
"172"	"坐"	"226"
"173"	"坚果"	"499"
"174"	"墨鱼"	"201"
"175"	"夏"	"1068"
"176"	"夏威夷"	"466"
"177"	"夏威夷"	"467"
"178"	"多"	"161"
"179"	"多"	"672"
"180"	"多"	"865"
"181"	"多"	"866"
"182"	"多多"	"1066"
"183"	"多汁"	"602"
"184"	"多脂"	"606"
"185"	"大"	"245"
"186"	"大头"	"200"
"187"	"大王"	"736"
"188"	"大豆"	"437"
"189"	"大豆"	"442"
"190"	"大豆"	"443"
"191"	"大麦"	"846"
"192"	"大麦茶"	"846"
"193"	"大黑"	"577"
"194"	"天"	"644"
"195"	"天生"	"556"
"196"	"夫"	"236"
"197"	"头"	"148"
"198"	"奇"	"985"
"199"	"奈"	"948"
"200"	"奈"	"1061"
"201"	"奥尔良"	"321"
"202"	"奶茶"	"1067"
"203"	"如意"	"799"
"204"	"妍"	"948"
"205"	"姜"	"890"
"206"	"姜"	"890"
"207"	"姜"	"890"
"208"	"姜"	"903"
"209"	"姬"	"956"
"210"	"姬"	"1068"
"211"	"嫩"	"1057"
"212"	"子"	"139"
"213"	"子"	"559"
"214"	"子"	"563"
"215"	"子"	"864"
"216"	"孜然"	"318"
"217"	"孢"	"569"
"218"	"季春"	"1061"
"219"	"季春"	"1061"
"220"	"季春"	"1061"
"221"	"宇治"	"1078"
"222"	"宇治"	"1079"
"223"	"安徽"	"30"
"224"	"宝"	"161"
"225"	"宝"	"448"
"226"	"客家"	"834"
"227"	"富贵"	"571"
"228"	"寿司"	"45"
"229"	"寿司"	"861"
"230"	"寿司"	"861"
"231"	"小"	"542"
"232"	"小炒"	"400"
"233"	"小豆"	"7"
"234"	"小豆"	"457"
"235"	"小豆"	"491"
"236"	"少"	"949"
"237"	"少年"	"1033"
"238"	"少油"	"949"
"239"	"尖椒"	"731"
"240"	"山果"	"548"
"241"	"山枣"	"552"
"242"	"山脉"	"1061"
"243"	"山芋"	"104"
"244"	"山茶"	"793"
"245"	"山茶油"	"793"
"246"	"岁"	"1061"
"247"	"川"	"449"
"248"	"巧"	"1016"
"249"	"巧克力"	"852"
"250"	"巴"	"539"
"251"	"巴西"	"499"
"252"	"布丁"	"1057"
"253"	"师傅"	"888"
"254"	"干"	"474"
"255"	"干"	"476"
"256"	"干"	"805"
"257"	"干巴"	"350"
"258"	"平菇"	"366"
"259"	"平菇"	"631"
"260"	"平菇"	"723"
"261"	"平菇"	"726"
"262"	"平菇"	"727"
"263"	"平车"	"757"
"264"	"年时"	"1033"
"265"	"年糕"	"1020"
"266"	"幸"	"1110"
"267"	"幸运"	"1089"
"268"	"庵"	"533"
"269"	"开花"	"472"
"270"	"式"	"683"
"271"	"彩虹"	"900"
"272"	"心"	"621"
"273"	"心"	"852"
"274"	"快"	"193"
"275"	"悠哉"	"1093"
"276"	"悠哉"	"1093"
"277"	"悠哉悠哉"	"1093"
"278"	"情人"	"543"
"279"	"慕"	"982"
"280"	"戟"	"539"
"281"	"手"	"695"
"282"	"手指"	"1035"
"283"	"打酒"	"925"
"284"	"扬"	"45"
"285"	"扬"	"861"
"286"	"扬"	"861"
"287"	"扭"	"457"
"288"	"护"	"611"
"289"	"抹"	"806"
"290"	"抹"	"979"
"291"	"抹"	"985"
"292"	"抹"	"989"
"293"	"抹"	"1025"
"294"	"抹"	"1078"
"295"	"抹"	"1079"
"296"	"拉"	"532"
"297"	"拉米"	"1035"
"298"	"拉米"	"1052"
"299"	"拉面"	"91"
"300"	"拉面"	"93"
"301"	"拌"	"281"
"302"	"拌"	"290"
"303"	"拿"	"836"
"304"	"拿"	"1110"
"305"	"指"	"320"
"306"	"掌"	"185"
"307"	"排骨"	"248"
"308"	"提"	"1023"
"309"	"提拉"	"1035"
"310"	"提拉"	"1052"
"311"	"斐济"	"509"
"312"	"斯"	"982"
"313"	"新奥尔良"	"321"
"314"	"无"	"296"
"315"	"日东"	"1025"
"316"	"早餐"	"61"
"317"	"昆布"	"598"
"318"	"明"	"447"
"319"	"易"	"1084"
"320"	"星星"	"1075"
"321"	"春卷"	"49"
"322"	"春茶"	"1061"
"323"	"春茶"	"1061"
"324"	"月亮"	"433"
"325"	"月亮"	"823"
"326"	"木兰"	"816"
"327"	"木耳"	"626"
"328"	"木耳菜"	"626"
"329"	"朴"	"618"
"330"	"朵"	"985"
"331"	"杂"	"116"
"332"	"杂"	"683"
"333"	"杂粮"	"117"
"334"	"杆"	"651"
"335"	"杏"	"560"
"336"	"杏核"	"789"
"337"	"杨柳"	"578"
"338"	"杨桃"	"461"
"339"	"杨桃"	"975"
"340"	"松口"	"645"
"341"	"松鼠"	"1039"
"342"	"板栗"	"251"
"343"	"板栗"	"530"
"344"	"板面"	"30"
"345"	"果"	"500"
"346"	"果"	"503"
"347"	"果"	"505"
"348"	"果"	"509"
"349"	"果"	"510"
"350"	"果"	"514"
"351"	"果"	"521"
"352"	"果"	"523"
"353"	"果"	"524"
"354"	"果"	"527"
"355"	"果"	"532"
"356"	"果"	"533"
"357"	"果"	"538"
"358"	"果"	"543"
"359"	"果"	"549"
"360"	"果"	"551"
"361"	"果"	"553"
"362"	"果"	"554"
"363"	"果"	"557"
"364"	"果"	"560"
"365"	"果"	"564"
"366"	"果"	"568"
"367"	"果"	"798"
"368"	"果"	"888"
"369"	"果"	"897"
"370"	"果"	"898"
"371"	"果"	"1016"
"372"	"果"	"1110"
"373"	"果味"	"932"
"374"	"果子"	"566"
"375"	"果子"	"1129"
"376"	"果子"	"1132"
"377"	"枝"	"454"
"378"	"枝"	"629"
"379"	"枞"	"607"
"380"	"枞"	"608"
"381"	"枸杞"	"106"
"382"	"柚"	"1065"
"383"	"柠"	"538"
"384"	"柠"	"841"
"385"	"柠"	"1023"
"386"	"柳"	"417"
"387"	"柿"	"1066"
"388"	"栀子"	"1113"
"389"	"树"	"522"
"390"	"树"	"605"
"391"	"树花"	"658"
"392"	"核桃"	"436"
"393"	"核桃仁"	"436"
"394"	"根"	"596"
"395"	"桂鱼"	"166"
"396"	"桃"	"495"
"397"	"桃"	"897"
"398"	"桃"	"1062"
"399"	"桃"	"1062"
"400"	"桃仁"	"436"
"401"	"桃李"	"866"
"402"	"桑"	"865"
"403"	"桑"	"865"
"404"	"桑"	"927"
"405"	"桲"	"553"
"406"	"梅"	"71"
"407"	"梅"	"524"
"408"	"梅"	"805"
"409"	"梅"	"1027"
"410"	"梅子"	"962"
"411"	"梦"	"1068"
"412"	"梨"	"561"
"413"	"梨子"	"528"
"414"	"棉"	"613"
"415"	"棒"	"401"
