"fnum"	"type1"	"type2"	"fname"	"link"	"img"	"energy"	"ts"	"zf"	"dbz"	"qws"
"1"	"原材料"	"主食"	"大米、稻米、米、生米、白米"	"https://www.boohee.com/shiwu/daomi_junzhi"	"http://s.boohee.cn/house/new_food/small/3e01a32158e941ccb328d808d6955684.jpg"	"346"	"77"	"1"	"8"	"1"
"2"	"原材料"	"主食"	"大薯、参薯、脚板苕"	"https://www.boohee.com/shiwu/dashu"	"http://s.boohee.cn/house/upload_food/2020/6/11/small_photo_url_6cbb3c2203a2735065717727847b3ed1.jpg"	"108"	"25"	"0"	"2"	"1"
"3"	"原材料"	"主食"	"豆薯(凉薯)、凉薯、沙葛、地瓜、地萝卜、土瓜、白地瓜、葛薯、芒光"	"https://www.boohee.com/shiwu/doushu"	"http://s.boohee.cn/house/upload_food/2020/6/11/small_photo_url_b4fcbc303caff248fcfe5dd0b53bcc81.jpg"	"56"	"13"	"0"	"1"	"1"
"4"	"原材料"	"主食"	"方通 米"	"https://www.boohee.com/shiwu/fd5f3011"	"http://s.boohee.cn/house/upload_food/2022/9/6/small_photo_url_88d929017e767d4bcd45512f25551562.jpg"	"349"	"78"	"0"	"5"	"0"
"5"	"原材料"	"主食"	"盒马红米、红米"	"https://www.boohee.com/shiwu/fd692d8b"	"http://s.boohee.cn/house/upload_food/2020/2/19/small_photo_url_92616c2d814f8f5ac655ef8c3739c304.jpg"	"337"	"75"	"1"	"5"	"0"
"6"	"原材料"	"主食"	"黑米"	"https://www.boohee.com/shiwu/heimi"	"http://s.boohee.cn/house/new_food/small/6fa81583e5f64e78bca19027349f1cd8.jpg"	"341"	"72"	"3"	"9"	"4"
"7"	"原材料"	"主食"	"红豆、赤小豆、红小豆、红饭豆、米赤豆、赤豆、朱小豆、小豆"	"https://www.boohee.com/shiwu/chixiaodou"	"http://s.boohee.cn/house/upload_food/2021/8/18/small_photo_url_80561ab027972002f7cf5476945a3dae.jpg"	"324"	"63"	"1"	"20"	"8"
"8"	"原材料"	"主食"	"红米 "	"https://www.boohee.com/shiwu/fde4bf51"	"http://s.boohee.cn/house/upload_food/2023/2/7/small_photo_url_a5c7abaf900d2380518cb53d4c249ea3.jpg"	"348"	"74"	"2"	"7"	"0"
"9"	"原材料"	"主食"	"姜薯"	"https://www.boohee.com/shiwu/fdb69e30"	"http://s.boohee.cn/images/can/no-s-illu.gif"	"115"	"25"	"0"	"3"	"0"
"10"	"原材料"	"主食"	"金健 米"	"https://www.boohee.com/shiwu/fdb6b5aa"	"http://s.boohee.cn/house/upload_food/2021/11/29/small_photo_url_989803906268613da6daa7c9428aaa0d.jpg"	"349"	"77"	"1"	"7"	"0"
"11"	"原材料"	"主食"	"粳米(标一)、硬米"	"https://www.boohee.com/shiwu/jingmi_biaoyi"	"http://s.boohee.cn/house/new_food/small/17e518a03e5c42b6911028482dfe2cbd.jpg"	"345"	"77"	"1"	"8"	"1"
"12"	"原材料"	"主食"	"景尚 米"	"https://www.boohee.com/shiwu/fd1e2b7b"	"http://s.boohee.cn/house/upload_food/2022/11/5/small_photo_url_678DD6FEA0FE.jpg"	"357"	"80"	"0"	"7"	
"13"	"原材料"	"主食"	"苦荞米"	"https://www.boohee.com/shiwu/fd6ab50e"	"http://s.boohee.cn/images/can/no-s-illu.gif"	"350"	"76"	"2"	"9"	
"14"	"原材料"	"主食"	"良田米"	"https://www.boohee.com/shiwu/fd870505"	"http://s.boohee.cn/house/upload_food/2022/5/22/small_photo_url_b50b076089c67d1cde8351416c0d2e47.jpg"	"346"	"79"	"0"	"6"	"0"
"15"	"原材料"	"主食"	"米麸、米糠"	"https://www.boohee.com/shiwu/fd80a797"	"http://s.boohee.cn/house/upload_food/2021/7/28/small_photo_url_750cf7e488ef5c3aa3d5b3dd57c76838.jpg"	"390"	"27"	"20"	"13"	"26"
"16"	"原材料"	"主食"	"糯米、元米、江米"	"https://www.boohee.com/shiwu/nuomi_junzhi"	"http://s.boohee.cn/house/new_food/small/2f27062d3c1f413f8c34323114f6a817.jpg"	"350"	"78"	"1"	"7"	"1"
"17"	"原材料"	"主食"	"芡实米(干)、鸡头米、水鸡头、鸡头苞、鸡嘴莲、刺莲蓬实"	"https://www.boohee.com/shiwu/qianshimi"	"http://s.boohee.cn/house/upload_food/2020/6/5/small_photo_url_1218c8a9678c62f7eb8f78f757bb3d5d.jpg"	"352"	"80"	"0"	"8"	"1"
"18"	"原材料"	"主食"	"芡实米(鲜)、鸡头米、苏芡、鸡头米"	"https://www.boohee.com/shiwu/qianshimi_xian"	"http://s.boohee.cn/house/upload_food/2020/6/19/small_photo_url_big_photo_url_0a9895819d083728744119dbea17086a.jpg"	"145"	"32"	"0"	"4"	"0"
"19"	"原材料"	"主食"	"秋趣 米"	"https://www.boohee.com/shiwu/fda53160"	"http://s.boohee.cn/house/upload_food/2022/9/1/small_photo_url_af45221202dd5621ba2bb6d7ec07b99e.jpg"	"345"	"79"	"0"	"6"	"0"
"20"	"原材料"	"主食"	"山药、薯蓣、山芋、诸薯、延草、薯药、大薯"	"https://www.boohee.com/shiwu/shanyao"	"http://s.boohee.cn/house/upload_food/2020/6/15/small_photo_url_1375f83208b5eb78e9b029e7ac9f9043.jpg"	"57"	"12"	"0"	"2"	"1"
"21"	"原材料"	"主食"	"泰国红米、红米"	"https://www.boohee.com/shiwu/fd20bc30"	"http://s.boohee.cn/house/upload_food/2020/7/7/small_photo_url_777f7315a5f3c44d41ae43ec529f583a.jpg"	"353"	"73"	"3"	"9"	"0"
"22"	"原材料"	"主食"	"西米、西谷米"	"https://www.boohee.com/shiwu/fd8873a6"	"http://s.boohee.cn/house/upload_food/2021/4/2/small_photo_url_be27a50879d51dfa2b9dd61d380aa05d.jpg"	"355"	"94"	"0"	"0"	"0"
"23"	"原材料"	"主食"	"燕麦米"	"https://www.boohee.com/shiwu/Chhivre"	"http://s.boohee.cn/house/upload_food/2020/5/14/small_photo_url_a67d57f3774e57f0573cfb8a75c682ba.jpg"	"377"	"67"	"7"	"15"	"5"
"24"	"原材料"	"主食"	"薏米、薏苡、薏苡仁、六谷米、苡米、薏仁米、沟子米、苡仁、薏仁"	"https://www.boohee.com/shiwu/yimi"	"http://s.boohee.cn/house/upload_food/2020/5/14/small_photo_url_95fd318fe9b3f6d71b7040cb22849be5.jpg"	"361"	"71"	"3"	"13"	"2"
"25"	"原材料"	"主食"	"皂角米、雪莲子"	"https://www.boohee.com/shiwu/zaojiaomi"	"http://s.boohee.cn/house/upload_food/2021/2/8/small_photo_url_4cd26fbdfe1a86ae19d3b060491c1765.jpg"	"364"	"67"	"2"	"17"	"0"
"26"	"原材料"	"主食"	"中粮 米"	"https://www.boohee.com/shiwu/fd84879a"	"http://s.boohee.cn/house/upload_food/2022/11/3/small_photo_url_e34725af85bdbdf1d26d965b11b4e44b.jpg"	"342"	"77"	"0"	"8"	"0"
